Moment,Reaction,Offensiveness,Responsibility
You are in conversation with colleagues who decide to go for happy hour at a bar on Fridays after work. You realize it excludes your colleagues with young children.,I wouldn't mind that at all.,0.614128154,1.400680343
"You are a faculty member speaking to your department head about the challenges of family-work balance. Your department head refers to his fellow senior female faculty, who had “made it to that level even though she had kids and a family.”",It's the way I was born.,0.683389263,4.300537774
"You are a female seminar speaker and someone says to you, “This year we had a rule that half of the seminar speakers had to be women.”",That is a sexist remark.,-0.75680975,4.683389263
"You are a junior faculty member. You walk into a meeting and feel like more senior faculty are watching what you do and when, and judging how you speak—like you are being evaluated the entire time. ",Post passive-aggressive sticky notes.,4.47143466,0.122273191
"You are a female faculty member who made a donation to the university women's fund. The university sends a thank you note to your faculty mailbox addressed to ""Ms. Jane Smith and Dr. John Jones"". Dr. John Jones is your husband, however you are also a “Dr.”.",Call security.,1.600813129,-0.398924451
"You are a female faculty member at your first holiday party in your new department. A colleague takes you and your husband up to an Emeritus faculty member and says, ""Meet our newest faculty member!"" The Emeritus faculty member extends his hand to your husband.","Stare deadpan and say, ""And I'm yours.""",0.609535988,0.392319038
"You are a married female faculty member considering a job position. Someone from that department says to you, “I thought you’d accept this position because we found a good position for your husband.”",Tell them the devil made you do it.,0.785086233,-0.474841766
"You are part of a faculty committee consisting almost entirely of older white men plus a relatively young woman with kids. The older white men discuss how the department needs to hire more faculty who are ""really committed to research"" instead of ""all these people having kids while going for tenure.""","Excuse me, Get me my coffee now!",2.589871798,0.105572809
"You are a pregnant faculty member, and a senior colleague remarks that you are ""doing your duty for the species.""","Sorry dude, you're not good enough for me.",2.256538464,0.280419974
"You are in a group of students who notice a poster about computer science outreach at a local school. One student says, ""If you have the talent to do computer science--if you're gifted that way--you'll go into the field. We don't need to force people, especially girls who are just not interested.""",Eat your co-workers' lunches until you forget your shame.,1.609535988,-0.047722558
You are talking with colleagues when one them announces to everyone that he is a swinger.,I'm not touching this one.,0.22587645,3.528575471
"You are a female professor. A chaired professor in your department tells you, ""I believe a woman's place is in the home"".",Hang your head in shame.,0.008346395,1.736409145
"You are a faculty member present when a high level staff member is having a conversation with a tenured faculty member about their children.  Another colleague hears and asks the staff member, ""Oh, does your daughter go to Ellis (an expensive, private school) too?  I thought she'd be in public school.""","Okay, everyone back in their seats.",0.122273191,2.27078252
"You are a new, young, female faculty member, and another female colleague warns you to expect “inappropriate comments” from a specific senior male faculty member.","Yeah, you swing on a swing-set like a little kid.",2.978145589,-0.366128892
You are faculty member heading into a meeting for tenured faculty. A senior colleague asks you why you are there. You have been tenured for five years and have attended this meeting with this senior colleague each year since.,"Excuse me, Get me my coffee now!",3.228914553,-0.172211972
"You are a student in a study group for a programming course. A female student says: ""I've been working really hard on this programming assignment, but still need to do so much more."" A male student responds: ""You'll probably get an A; you get so much help and attention because you're a girl.""",It's the way I was born.,0.008346395,4
You are a female faculty member with a husband and children. You are asked by a respected senior colleague where your children go while you’re at conferences - as though your husband is somehow incapable of taking care of them.,Eat your co-workers' lunches until you forget your shame.,4.02969061,-0.336660027
You are part of a department where a loud extrovert was praised for work that five other people had contributed to. You sent an email to the department chair explaining the contributions of the five other people. Then the extrovert was praised again.  And again.,Bring coffee for everyone with a special ingredient: laxatives.,5.415740932,0.150268888
"You are a female researcher working on a manuscript with a colleague at the end of your first pregnancy. Immediately after your child’s birth, this colleague sends emails pressuring you to finish the paper. He sends a two sentence email, ""How's motherhood? But more importantly, how's the paper?""",Gotta work on your tan.,0.415740932,0.700282506
"You are a new, young, female faculty member, and another female colleague warns you to expect “inappropriate comments” from a specific senior male faculty member.",Feminism at its best.,1.456320771,0
You are a junior Professor and a senior Professor persists in hugging you when you have specifically asked him not to.,High fives!!,-0.378282792,0.992864417
"You are a member of a faculty committee discussing PhD student salaries. The salaries for male PhD students' spouses are not mentioned when discussing their stipend and scholarship, but the salaries of female PhD students’ spouses are.",I feel we will do well on this.,0.550510257,0.736409145000001
"You are a junior faculty member, and you hear your colleague say: “this place feels like the more senior faculty are constantly watching what I do and when, and judging how I speak; it feels that I am being evaluated all the time.”",I am a big girl and can handle it.,-0.691071366,4.76527818
"You are a graduate student whose faculty advisor says to you, “A postdoc is always a good idea, unless you are married.”","Trust me, you wouldn't want that.",0,1.221863818
"You are a faculty member attending an invitation-only meeting with a distinguished visitor. There are 20 faculty members in attendance, and only one is a woman.",Bring coffee for everyone with a special ingredient: laxatives.,5.696357276,-0.241581623
"You are a junior female faculty member and a senior male faculty member advises you to watch out for the only other female faculty member in your department, stating, “She’s your competition.”","Well, count me out then!",0.361373189,1.600813129
You are a faculty member talking with another faculty colleague. This colleague comments that a particular female PhD student doesn't need her stipend and scholarship as much as the other PhD students because her husband has a good income and they have a nice house.,I'm not touching this one.,0.804767994,0.34525841
"You are a single woman applying to a potential job in Pittsburgh. Someone says to you, “Pittsburgh is a great place to raise a family.”",Blame it on someone who already quit.,-0.227167715,-0.52856534
"You are a female seminar speaker and someone says to you, “This year we had a rule that half of the seminar speakers had to be women.”",Excuse me? That's super rude.,0.316718427,2.171572875
"You are white. You ask a black friend what they use for sun block and then say, ""Oh no, you don't need it.” Your friend says, “Yes, actually. I do.”",Laugh out loud and then abruptly stop.,4.27078252,0.183474587
