index,moment
0,You are in conversation with colleagues who decide to go for happy hour at a bar on Fridays after work. You realize it excludes your colleagues with young children.
1,"You are a faculty member speaking to your department head about the challenges of family-work balance. Your department head refers to his fellow senior female faculty, who had “made it to that level even though she had kids and a family.”"
2,"You are a female seminar speaker and someone says to you, “This year we had a rule that half of the seminar speakers had to be women.”"
3,"You are a junior faculty member. You walk into a meeting and feel like more senior faculty are watching what you do and when, and judging how you speak—like you are being evaluated the entire time. "
4,"You are a female faculty member who made a donation to the university women's fund. The university sends a thank you note to your faculty mailbox addressed to ""Ms. Jane Smith and Dr. John Jones"". Dr. John Jones is your husband, however you are also a “Dr.”."
5,"You are a female faculty member at your first holiday party in your new department. A colleague takes you and your husband up to an Emeritus faculty member and says, ""Meet our newest faculty member!"" The Emeritus faculty member extends his hand to your husband."
6,"You are a married female faculty member considering a job position. Someone from that department says to you, “I thought you’d accept this position because we found a good position for your husband.”"
7,"You are part of a faculty committee consisting almost entirely of older white men plus a relatively young woman with kids. The older white men discuss how the department needs to hire more faculty who are ""really committed to research"" instead of ""all these people having kids while going for tenure."""
8,"You are a pregnant faculty member, and a senior colleague remarks that you are ""doing your duty for the species."""
9,"You are in a group of students who notice a poster about computer science outreach at a local school. One student says, ""If you have the talent to do computer science--if you're gifted that way--you'll go into the field. We don't need to force people, especially girls who are just not interested."""
10,You are talking with colleagues when one them announces to everyone that he is a swinger.
11,"You are a female professor. A chaired professor in your department tells you, ""I believe a woman's place is in the home""."
12,"You are a faculty member present when a high level staff member is having a conversation with a tenured faculty member about their children.  Another colleague hears and asks the staff member, ""Oh, does your daughter go to Ellis (an expensive, private school) too?  I thought she'd be in public school."""
13,"You are a new, young, female faculty member, and another female colleague warns you to expect “inappropriate comments” from a specific senior male faculty member."
14,You are faculty member heading into a meeting for tenured faculty. A senior colleague asks you why you are there. You have been tenured for five years and have attended this meeting with this senior colleague each year since.
15,"You are a student in a study group for a programming course. A female student says: ""I've been working really hard on this programming assignment, but still need to do so much more."" A male student responds: ""You'll probably get an A; you get so much help and attention because you're a girl."""
16,You are a female faculty member with a husband and children. You are asked by a respected senior colleague where your children go while you’re at conferences - as though your husband is somehow incapable of taking care of them.
17,You are part of a department where a loud extrovert was praised for work that five other people had contributed to. You sent an email to the department chair explaining the contributions of the five other people. Then the extrovert was praised again.  And again.
18,"You are a female researcher working on a manuscript with a colleague at the end of your first pregnancy. Immediately after your child’s birth, this colleague sends emails pressuring you to finish the paper. He sends a two sentence email, ""How's motherhood? But more importantly, how's the paper?"""
19,You are a junior Professor and a senior Professor persists in hugging you when you have specifically asked him not to.
20,"You are a member of a faculty committee discussing PhD student salaries. The salaries for male PhD students' spouses are not mentioned when discussing their stipend and scholarship, but the salaries of female PhD students’ spouses are."
