moment,reaction,offensiveness,responsibility
0,0,0.614128154,1.400680343
0,1,0.129503295,0.231125379
0,2,1.250850428,-0.474841766
0,3,0.996970948,-0.449489743
0,4,-0.28035085,-0.001514526
0,5,0.620448482,1.231467359
0,6,-0.366479395,-0.702172887
0,7,0.835417481,0.008346395
0,8,2.052711729,-0.988854382
0,9,4.25,-0.016611478
0,10,0.611564179,1.519027942
0,11,0.683389263,1.173086434
0,12,-0.732050808,1.326355865
0,13,1.766849822,0.258359214
0,14,3.440973916,-0.154700538
0,15,2.408594815,0.367006838
0,16,5,0.542174872
0,17,1,-0.103840481
0,18,-0.480972058,1.192113447
0,19,-0.521363372,1.033520605
0,20,2.171572875,1.964466094
0,21,0.361373189,5.700340171
0,22,-0.480972058,-0.68997992
0,23,-1.110367219,0.936435787
0,24,4.585786438,0.267742215
0,25,3.156832327,0.433520605
0,26,0.331818808,5.696357276
0,27,1.154304063,3.174258142
0,28,-0.273320053,-0.473644135
0,29,-0.649590136,1
0,30,0.251667334,5.089316398
0,31,-0.160246899,0.917517095
0,32,-0.244016936,0.150055189
0,33,-0.388383796,-0.183278145
0,34,3.901282262,-0.741640786
0,35,1.855070878,0.462502709
0,36,0.453359894,1.350409864
0,37,2.038452737,-0.220526275
0,38,-0.621320344,2.171572875
0,39,0.552923188,0.453359894
0,40,0.211564179,0.898148783
0,41,2.308928634,0.506419768
0,42,0.328576278,0.772832285
0,43,0.761387212,0.653359894
0,44,4.455606525,-0.768748646
0,45,-0.828427125,0.757359313
0,46,0.676525755,0.440973916
0,47,-0.618802154,-1.054037934
0,48,2.058118388,1.483388522
0,49,2.228914553,-0.107456884
0,50,0.238452737,-0.433180425
0,51,2.350409864,-0.749576241
0,52,0.41886117,1.350409864
0,53,0.792572892,-0.451562119
0,54,-0.116575089,0.192113447
0,55,1.658196881,1.334154595
0,56,6.156832327,0.032051661
0,57,-0.035112807,1.236294064
0,58,-0.503840481,0.011145618
0,59,-0.414854216,0.688447187
0,60,0.426355865,-0.516620626
0,61,1.12004436,-0.37995564
0,62,0.775255129,-0.121320344
0,63,-1.207908119,-1.487480407
0,64,1.516718427,-0.28997992
0,65,-0.232050808,1.839753101
0,66,2.038452737,0.326355865
0,67,-0.68997992,3.519027942
0,68,6.366949172,-0.826913566
0,69,1.267949192,2
0,70,-1.220084679,-1.708118551
0,71,1.25,-0.008305739
0,72,0.805808101,0.154782083
0,73,-0.16227766,0.042174872
0,74,-0.207427108,7.845299462
0,75,-0.247213595,-1.207680962
0,76,-0.976067744,-0.183278145
0,77,1.985376771,-0.208165371
0,78,3.892543116,-0.195232006
0,79,-0.749576241,-0.366479395
0,80,3.792572892,2.767949192
0,81,4.792893219,1.792893219
0,82,0.668309192,-0.007311614
0,83,0.839753101,0.532644217
0,84,-0.224744871,5.876461594
0,85,-0.232050808,3.792572892
0,86,0.104554885,1.61846592
0,87,2.805808101,0.354248689
0,88,6.585145784,-1
0,89,-1.016637832,-0.967948339
0,90,-0.657397862,-1.567424178
0,91,-0.584259068,0.211145618
0,92,-1.449747468,-1.242640687
0,93,0.377718677,2.183503419
0,94,-0.16227766,-0.443167673
1,0,-0.244016936,3.118783079
1,1,0.683389263,4.300537774
1,2,2.556832327,2.566819575
1,3,0.472307431,-0.588854382
1,4,1.774307249,-0.483163248
1,5,2.51964915,0.51964915
1,6,0.232407526,-0.335711861
1,7,-0.18178046,0.097827113
1,8,0.632051661,-1.007680962
1,9,1.0392983,-0.494427191
1,10,-0.121320344,3.883424911
1,11,3.412532723,0.191681084
1,12,0.632051661,1.71002008
1,13,4.354248689,-0.732050808
1,14,-0.08670068,-0.77412355
1,15,3,0.139141435
1,16,2,0.805808101
1,17,0.835386489,0.073812175
1,18,0.735088936,2.177288111
1,19,-1.220084679,0.446581987
1,20,0.175077641000001,-0.503840481
1,21,2.446581987,-1.358898944
1,22,-0.759326869,0.41886117
1,23,-1.23472182,2.708166671
1,24,4.516718427,-0.3144823
1,25,-0.320493799,-0.414854216
1,26,-0.301162634,0.380995378
1,27,1.241682042,1.902382304
1,28,-0.79089023,2.550409864
1,29,-0.687817783,-0.474841766
1,30,-0.116575089,0.261387212
1,31,-0.146820815,1.361958875
1,32,1.511966129,-0.645751311
1,33,-0.674428901,0.183503419
1,34,1.039058395,-0.544393475
1,35,-0.147722558,2.992863206
1,36,-0.414213562,0.548437881
1,37,1.18337521,3.042174872
1,38,0.066330243,-0.781740769
1,39,4.850059953,-0.75680975
1,40,5.585786438,-1.449747468
1,41,-0.732050808,0.139141435
1,42,0.592863206,-0.216590212
1,43,0.031711264,-0.162322551
1,44,3.357030551,-1.054037934
1,45,0.350036391,0.708166671
1,46,2.611616204,2.585000668
1,47,-0.417856739,-0.544393475
1,48,-0.414213562,0.097827113
1,49,7.259824575,0.459824575
1,50,8.178632795,0
1,51,0.892543116,0.431944846
