Moment,Reaction,Offensiveness,Responsibility
You accidentally sit on ketchup at lunch.,Start a slow clap.,-0.27,-0.22
"You refer to your new colleague as ""sir"" and she corrects you.",Bring coffee for everything with a special ingredient: laxatives.,1.46,-0.64
There's a picture with your face photoshopped onto a naked model posted in the stairwell.,Open mouth. Insert both feet.,-0.33,-0.27
"You forget to include a vegetarian option at the work BBQ. The company president, a vegetarian, is coming.",Start mentally drafting your letter of resignation.,-0.03,-0.44
Your boss refers to the custodian as Juan. His name is John.,Eat your co-workers' lunches until you forget your shame.,0.83,-0.71
"You suggest a meeting over coffee, and your boss assumes it's a date.",Hang your head in shame.,0.43,1.62
You're using the only bathroom stall when someone runs in and frantically knocks on the door.,Ask Siri what to do.,0.49,-0.47
"When a co-worker announces she's leaving early for a funeral, you instinctively say, ""Have fun!""",Start a slow clap.,5.20,-1.15
"You suggest a meeting over coffee, and your boss assumes it's a date.",Blame it on someone who already quit.,1.28,-0.98
You laugh at a hilarious text during a meeting at the exact moment the boss announces that layoffs are coming.,Make crazy eyes until they wet their pants.,0.29,-0.15
A disgruntled co-worker calls you retarded during a heated debate.,Post passive-aggressive sticky notes.,0.80,0.48
You discover that your starting salary is lower than your colleague's despite having the same job title.,Speak up and voice the truth!,-0.45,4.10
"You forget to include a vegetarian option at the work BBQ. The company president, a vegetarian, is coming.",Claim you were hacked.,0.83,-0.03
"You forget to include a vegetarian option at the work BBQ. The company president, a vegetarian, is coming.",Play dead.,0.34,-0.82
You're using the only bathroom stall when someone runs in and frantically knocks on the door.,Deny it ever happened.,0.35,0.32
You get nervous and fake a British accent during your interview--and you get hired.,Ask Siri what to do.,1.03,-0.16
"When your boss announces that there will be no holiday bonuses, your colleague says, ""Well, that's gay.""",Pretend you don't speak English.,2.05,-0.03
"Your blind colleague tells you about her recent promotion. You hold up your hand and say, ""High five!""",Bring in donuts.,1.05,1.55
"When your boss announces that there will be no holiday bonuses, your colleague says, ""Well, that's gay.""",Hang your head in shame.,-0.22,0.23
"When a co-worker announces she's leaving early for a funeral, you instinctively say, ""Have fun!""",Hide in the bathroom until it all blows over.,0.71,-0.14
You realize too late that the wireless presentation microphone is still on during your bathroom break.,Go take an emergency shower because you feel unclean.,1.07,0.52
"A co-worker tells a racist joke, then says, ""Don't worry, I stole that from Chris Rock.""",Deny it ever happened.,0.15,0.26
You get nervous and fake a British accent during your interview--and you get hired.,Play dead.,0.99,-0.41
Your boss is in the bathroom stall next to you and starts a conversation.,Claim it was your identical twin.,0.84,-0.21
"A co-worker is proudly showing off his new ""Never don't give up"" tattoo.",Growl like a dog.,0.44,-0.18
"A new technology innovation committee is formed, and you realize that no one over the age of 50 was invited to join.",Claim it was your identical twin.,1.05,-0.26
Your boss is in the bathroom stall next to you and starts a conversation.,Ask for a raise.,1.58,-0.25
"When you can't remember a name, you laugh and say, ""Oops, senior moment,"" before realizing that the colleagues you're talking to are over 65.",Pretend you don't speak English.,2.27,-0.56
"You say, ""Nice to meet you,"" to a visiting client. She replies, ""We've actually met. Twice.""",Channel your inner Wonder Woman.,1.16,0.13
You leave the handicapped stall only to find a person in a wheelchair waiting to use it.,Put up your dukes and threaten to fight.,3.34,-0.35
"When you can't remember a name, you laugh and say, ""Oops, senior moment,"" before realizing that the colleagues you're talking to are over 65.",Laugh out loud and then abruptly stop.,2.58,0.06
A disgruntled co-worker calls you retarded during a heated debate.,Ask for a raise.,0.74,-0.03
"You curse loudly when your computer crashes. A co-worker and his young son are standing right there, aghast.",Ask Siri what to do.,1.59,0.42
"Your boss tells you to use Photoshop to make the company's PR materials ""more multiracial.""",Post passive-aggressive sticky notes.,1.72,-0.38
Your boss is in the bathroom stall next to you and starts a conversation.,"Say, ""I'll be right back."" Lie.",1.16,1.20
"A co-worker tells a racist joke, then says, ""Don't worry, I stole that from Chris Rock.""",Play dead.,0.70,0.05
You reply to a co-worker before realizing he was actually talking on his Bluetooth.,Post passive-aggressive sticky notes.,1.37,-0.42
"When you can't remember a name, you laugh and say, ""Oops, senior moment,"" before realizing that the colleagues you're talking to are over 65.",Make crazy eyes until they wet their pants.,2.22,-0.87
"Your colleague talks about his cats incessantly. Seriously, he won't stop.",Sneak out the fire escape.,2.06,0.39
You start telling a joke and realize halfway through you've forgotten the punch line.,Accept it and move on.,-0.08,5.09
"When your boss announces that there will be no holiday bonuses, your colleague says, ""Well, that's gay.""",Eat your co-workers' lunches until you forget your shame.,0.15,0.09
"You're showing colleagues your vacation photos, but you forgot about the nude selfie.",Eat your co-workers' lunches until you forget your shame.,0.96,-0.43
"A co-worker tells a racist joke, then says, ""Don't worry, I stole that from Chris Rock.""",Hang your head in shame.,-0.10,0.33
Your boss is the horrible blind date that your friend still complains about...,Ask for a raise.,0.55,-0.08
You reply to a co-worker before realizing he was actually talking on his Bluetooth.,Rant about it on Twitter.,0.59,-0.14
"Your colleague talks about his cats incessantly. Seriously, he won't stop.",Make a run for the border.,0.58,-0.19
"When a co-worker announces she's leaving early for a funeral, you instinctively say, ""Have fun!""",Sneak out the fire escape.,1.10,0.62
"You suggest a meeting over coffee, and your boss assumes it's a date.",Write your local congressperson.,-0.18,-0.09
There's a picture with your face photoshopped onto a naked model posted in the stairwell.,Start mentally drafting your letter of resignation.,0.18,1.23
"Only one woman was invited to the planning meeting, and she's clearly noticed.",Ask for a raise.,0.33,0.65
You realize too late that the wireless presentation microphone is still on during your bathroom break.,Accept it and move on.,-0.67,5.47
"A co-worker tells a racist joke, then says, ""Don't worry, I stole that from Chris Rock.""",Avoid eye contact and back away slowly.,-0.00,1.02
You try to show off by greeting your new colleague in fluent Chinese. She's Korean.,Growl like a dog.,1.57,-0.60
You're adjusting your Spanx alone in the elevator just as the doors open to reveal a waiting crowd.,Avoid eye contact and back away slowly.,-0.46,1.41
"You curse loudly when your computer crashes. A co-worker and his young son are standing right there, aghast.",Accept it and move on.,0.49,2.77
"You forget to include a vegetarian option at the work BBQ. The company president, a vegetarian, is coming.",Accept it and move on.,0.31,3.26
You realize too late that the office banquet you planned is happening over Ramadan--while a colleague will be fasting.,Stroke their ego. A little brown-nosing never hurts.,0.53,1.43
You're using the only bathroom stall when someone runs in and frantically knocks on the door.,Go take an emergency shower because you feel unclean.,0.58,0.13
You realize too late that the office banquet you planned is happening over Ramadan--while a colleague will be fasting.,Call your mom.,-0.47,0.83
"Your phone autocorrected ""six"" to ""sex"" in a text to your boss.",Stroke their ego. A little brown-nosing never hurts.,0.84,0.12
You reply to a co-worker before realizing he was actually talking on his Bluetooth.,Hang your head in shame.,-0.83,2.59
"You repeatedly motion to a co-worker that he's got something on his face. He finally shouts, ""It's a mole!""",Order a solution from Amazon.,1.47,0.31
You call your father at home late at night and your boss answers.,Sneak out the fire escape.,-0.12,-0.42
"A co-worker is proudly showing off his new ""Never don't give up"" tattoo.",Tell them the devil made you do it.,0.11,-0.38
