moment,reaction,offensiveness,responsibility
0,0,-0.27,-0.22
0,1,1.63,-1.03
0,2,-0.36,0.52
0,3,-0.56,0.58
0,4,0.24,-0.54
0,5,-0.56,0.99
0,6,-0.56,0.75
0,7,0.24,-0.21
0,8,1.04,-0.75
0,9,0.06,0.59
0,10,-0.82,0.97
0,11,-0.52,-0.02
0,12,-1.19,-0.2
0,13,-0.45,1.65
0,14,-0.26,0.01
0,15,-0.74,0.18
0,16,-0.08,2
0,17,-0.96,4.44
0,18,-0.3,-0.73
0,19,-0.76,0.09
0,20,0.05,0.83
0,21,-0.26,0.62
0,22,1.84,-0.64
0,23,-1.04,0.92
0,24,-0.48,0.52
0,25,-0.5,0.11
0,26,-0.69,3.06
0,27,-0.14,1.38
0,28,-0.66,-0.06
0,29,-0.56,-0.78
0,30,-0.78,2.02
0,31,0.03,0.74
0,32,-0.37,0.13
0,33,-0.56,1.51
0,34,-0.94,0.7
0,35,-0.61,-0.5
0,36,-0.61,-0.47
0,37,-1.1,-1.03
0,38,-0.62,-0.33
0,39,-0.78,-0.42
0,40,-0.32,2.59
0,41,-0.45,2.03
0,42,-0.49,0.07
0,43,-0.29,1.72
0,44,-0.85,2.41
0,45,-0.79,1.78
0,46,0.13,2.59
0,47,0.17,-0.63
0,48,-0.65,0.91
0,49,-0.71,2.51
1,0,4.32,-0.45
1,1,1.46,-0.64
1,2,0.21,-0.2
1,3,-0.44,-0.44
1,4,0.2,-0.66
1,5,-0.24,1.46
1,6,3.26,1.1
1,7,2.1,0.32
1,8,3.05,-0.6
1,9,4.9,-0.3
1,10,1.02,0.36
1,11,0.74,-0.33
1,12,2.32,-0.89
1,13,2.47,0.39
1,14,2.59,0.32
1,15,0.36,2.96
1,16,0.49,-0.7
1,17,0.79,-0.26
1,18,0.47,-0.02
1,19,5.25,-0.69
1,20,1.7,-0.74
1,21,0.78,0.41
1,22,2.8,-0.58
1,23,4.5,-0.38
1,24,-0.2,-1.32
1,25,0.68,-0.46
1,26,0.78,4.88
1,27,1.97,-0.67
1,28,1.9,-0.04
1,29,1.06,-0.22
1,30,0.53,0.69
1,31,1.81,1.45
1,32,0.05,-0.02
1,33,0.89,0.34
1,34,2.63,0.23
1,35,4.26,-0.15
1,36,0.71,-0.6
1,37,3.12,0.06
1,38,0.35,2.83
1,39,1.22,-0.55
1,40,1.12,0.5
1,41,1.13,1.03
1,42,1.55,-0.54
1,43,0.2,0.72
1,44,0.67,4.65
1,45,0.76,0.4
1,46,1.58,0.02
1,47,1.45,0.69
1,48,2.23,-0.36
1,49,1.5,0.95
2,0,-0.36,-0.05
2,1,2.07,-0.35
2,2,-0.33,-0.27
2,3,0.18,1.23
2,4,1.7,-0.97
2,5,-0.28,1.12
2,6,-0.3,1.01
2,7,1.65,0.95
2,8,0.79,0.98
2,9,0.36,-0.1
2,10,-0.78,4.32
2,11,-0.68,2.39
2,12,-0.73,-0.16
2,13,-0.5,0.16
2,14,1.24,0.34
2,15,0.86,-0.2
2,16,-0.8,0.21
2,17,-0.28,0.07
2,18,0.47,1.03
2,19,-0.33,-0.79
2,20,-0.18,-0.65
2,21,-0.72,0.7
2,22,-0.44,-0.51
2,23,-0.18,2.08
2,24,-0.09,0.37
2,25,-0.44,-0.64
2,26,-0.74,2.84
2,27,-1.02,0.47
2,28,-0.18,-0.65
2,29,-0.66,-0.43
2,30,-0.05,0.62
2,31,2.8,-0.2
2,32,-0.96,0.26
2,33,-0.06,0.17
2,34,0.2,-1.11
2,35,-0.17,4.23
2,36,-0.19,-1.13
2,37,0.31,3.41
2,38,-0.56,0.61
2,39,-0.95,-0.42
2,40,1.29,0.04
2,41,-0.56,1.44
2,42,0.26,5.36
2,43,1.09,1.31
2,44,-0.73,1.4
2,45,-0.87,0.38
2,46,1,0.49
2,47,-0.36,5.73
2,48,-0.03,0.2
2,49,-0.13,0.9
3,0,0.17,-0.56
3,1,2.76,-0.81
3,2,-0.22,0.91
3,3,-0.03,-0.44
3,4,1.22,-0.42
3,5,-0.22,2.03
3,6,-0.27,1.22
3,7,1.99,1.15
3,8,2.53,-0.07
3,9,1.35,0.01
3,10,0.22,1.32
3,11,0.83,-0.03
3,12,0.34,-0.82
3,13,1.95,-0.59
3,14,1.68,-0.1
3,15,-0.12,0.9
3,16,0.82,-0.42
3,17,0.28,-0.38
3,18,1.08,-0.33
3,19,1.88,-0.36
3,20,2.49,-0.9
3,21,-0.59,1.33
3,22,4.59,-0.49
3,23,0.15,0.04
3,24,1.07,-0.8
3,25,1.63,0.02
3,26,0.31,3.26
3,27,1.02,-0.32
3,28,0.46,-0.46
3,29,0.49,-0.37
3,30,1.2,0.06
3,31,2.31,0.72
3,32,-0.14,0.47
3,33,-0.35,1.85
3,34,2.19,0.25
3,35,1.67,-0.69
3,36,1.27,-0.17
3,37,0.31,-0.04
3,38,-0.77,3.16
3,39,0.07,-0.71
3,40,1.62,0.09
3,41,-0.04,-0.24
3,42,-1.32,4.76
3,43,-0.15,0.55
3,44,-0.67,5.88
3,45,0.35,4.09
3,46,-0.42,0.62
3,47,0.53,0.24
3,48,2.5,1
3,49,1.32,0.34
4,0,3.89,-0.83
4,1,4.64,-1.16
4,2,-0.45,0.49
4,3,-0.38,0.81
4,4,0.83,-0.71
4,5,0.06,1.04
4,6,0.3,0.71
4,7,2.94,0.76
4,8,1.07,-0.45
4,9,4.2,-0.18
4,10,0.34,2.16
4,11,1.52,-0.56
4,12,0.6,-0.49
4,13,0.85,-0.08
4,14,2.92,-0.51
4,15,0.07,-0.02
4,16,1.21,0.98
4,17,0.4,-0.09
4,18,1.45,0.3
4,19,3.4,0.45
4,20,0.59,0.88
4,21,-0.02,-0.35
4,22,0.96,-0.6
4,23,2.8,-0.1
4,24,-0.09,0.11
4,25,1.21,-0.63
4,26,1.88,0.9
4,27,0.56,0.19
4,28,4,-0.16
4,29,0.8,1.51
4,30,1.11,0.36
4,31,2.27,1.23
4,32,-1.01,-0.02
4,33,-0.69,-0.14
4,34,5.19,-0.67
4,35,0.1,4.14
4,36,1.03,-0.37
4,37,3.08,-0.69
4,38,0.49,2.18
4,39,-0.17,-0.77
4,40,2.72,0.4
4,41,1.45,1.19
4,42,1.52,1.43
4,43,0.42,2.1
4,44,0,3.74
4,45,0.11,1.47
4,46,1.29,3.46
4,47,0.66,1.69
4,48,1.64,0.04
4,49,1.6,2.46
5,0,0.49,0.01
5,1,3,0.1
5,2,0.82,1.36
5,3,-0.21,0.39
5,4,0.41,-0.26
5,5,0.43,1.62
5,6,-0.3,0.72
5,7,1.28,-0.98
5,8,-0.14,-0.35
5,9,1.92,-0.23
5,10,-0.84,5.01
5,11,1.09,0.51
5,12,0.01,-0.14
5,13,1.4,0.16
5,14,2.31,-0.13
5,15,-0.18,2.73
5,16,0.64,-0.78
5,17,-0.21,0.22
5,18,0.53,0.3
